
Image Name                     PID Session Name        Session#    Mem Usage
RuntimeBroker.exe            10136 Console                    1     47,928 K
svchost.exe                  10452 Services                   0     12,664 K
LockApp.exe                  11284 Console                    1     49,656 K
RuntimeBroker.exe            11464 Console                    1     25,320 K
svchost.exe                  11800 Services                   0     10,444 K
PhoneExperienceHost.exe      12164 Console                    1    141,024 K
RuntimeBroker.exe            11340 Console                    1     12,748 K
SecurityHealthSystray.exe    12036 Console                    1      8,160 K
SecurityHealthService.exe    11452 Services                   0     15,332 K
Universal Control.exe         8244 Console                    1    184,084 K
svchost.exe                   1528 Services                   0     11,416 K
svchost.exe                  12596 Services                   0      8,532 K
Amazon Music Helper.exe      12880 Console                    1     11,084 K
Vaydeer keyboard.exe         12916 Console                    1     64,040 K
Vaydeer keyboard.exe         13056 Console                    1    141,568 K
Vaydeer keyboard.exe         13084 Console                    1     31,920 K
Vaydeer keyboard.exe         13108 Console                    1     92,204 K
Vaydeer keyboard.exe         13180 Console                    1     78,080 K
Vaydeer keyboard.exe         13192 Console                    1     78,732 K
Vaydeer keyboard.exe         13220 Console                    1     79,908 K
Vaydeer.Keyboard.Win.exe     10016 Console                    1     14,540 K
conhost.exe                   8900 Console                    1      9,140 K
SearchApp.exe                10708 Console                    1    224,488 K
Cortana.exe                   7088 Console                    1     74,880 K
NIHardwareAccessibilityHe    13352 Console                    1      7,776 K
NTKDaemon.exe                13676 Console                    1     20,764 K
jusched.exe                  13712 Console                    1     16,624 K
RuntimeBroker.exe            13916 Console                    1     22,960 K
chrome.exe                   14060 Console                    1    303,860 K
svchost.exe                  14112 Console                    1     19,872 K
chrome.exe                   14152 Console                    1      6,316 K
DeltaIITray.exe              14308 Console                    1      7,800 K
chrome.exe                   14404 Console                    1    228,876 K
chrome.exe                   14412 Console                    1     49,528 K
chrome.exe                   14428 Console                    1     22,892 K
EsHelper.exe                 14524 Console                    1      9,712 K
chrome.exe                   14592 Console                    1    301,964 K
chrome.exe                   14652 Console                    1    135,052 K
chrome.exe                   14776 Console                    1     51,588 K
svchost.exe                  15192 Services                   0     10,408 K
dllhost.exe                  15184 Console                    1     11,868 K
chrome.exe                   12716 Console                    1     20,928 K
NextPVRService.exe           14372 Services                   0     22,320 K
NextPVRServer.exe             9944 Services                   0     66,156 K
conhost.exe                   9724 Services                   0     12,060 K
SgrmBroker.exe               13036 Services                   0      8,824 K
svchost.exe                  12636 Services                   0     10,760 K
svchost.exe                  15036 Console                    1     13,104 K
ApplicationFrameHost.exe     11784 Console                    1     36,000 K
Calculator.exe               11760 Console                    1      3,648 K
RuntimeBroker.exe            12172 Console                    1      7,168 K
SystemSettings.exe           13080 Console                    1      3,968 K
UserOOBEBroker.exe           11240 Console                    1      9,840 K
svchost.exe                   7104 Console                    1     11,744 K
jucheck.exe                  10584 Console                    1     17,272 K
chrome.exe                    1404 Console                    1    170,200 K
audiodg.exe                   5088 Services                   0     13,568 K
chrome.exe                   14620 Console                    1    276,024 K
ShellExperienceHost.exe       6444 Console                    1     61,108 K
RuntimeBroker.exe            14668 Console                    1     21,928 K
Video.UI.exe                 13584 Console                    1      2,708 K
RuntimeBroker.exe             2192 Console                    1      7,864 K
svchost.exe                   3876 Services                   0     21,876 K
RuntimeBroker.exe            11144 Console                    1     22,904 K
msedge.exe                   16236 Console                    1     91,264 K
msedge.exe                    8052 Console                    1      8,016 K
msedge.exe                   14316 Console                    1     35,748 K
msedge.exe                     864 Console                    1     32,180 K
msedge.exe                   11940 Console                    1     18,312 K
chrome.exe                     564 Console                    1    169,440 K
chrome.exe                   13644 Console                    1     86,444 K
chrome.exe                    2256 Console                    1    179,908 K
chrome.exe                    2304 Console                    1    144,504 K
chrome.exe                    1668 Console                    1     93,076 K
TGitCache.exe                 7368 Console                    1     44,424 K
svchost.exe                   7044 Services                   0     11,476 K
chrome.exe                    8712 Console                    1    136,248 K
chrome.exe                   13568 Console                    1    179,312 K
chrome.exe                   10616 Console                    1     33,724 K
chrome.exe                   12912 Console                    1     35,860 K
chrome.exe                   10876 Console                    1     70,116 K
chrome.exe                    2484 Console                    1     68,608 K
smartscreen.exe              12400 Console                    1     24,880 K
chrome.exe                    7096 Console                    1     17,104 K
chrome.exe                   15792 Console                    1    129,124 K
chrome.exe                    6168 Console                    1     28,984 K
svchost.exe                   9640 Services                   0      7,712 K
svchost.exe                   9612 Services                   0     12,300 K
cmd.exe                      14672 Console                    1      5,308 K
conhost.exe                  14080 Console                    1     19,840 K
jlinkarm_nrf_worker.exe      10168 Console                    1     17,508 K
conhost.exe                  12100 Console                    1     11,024 K
WmiPrvSE.exe                  7736 Services                   0     11,024 K
tasklist.exe                  7136 Console                    1      9,388 K
